label,index,filename,mjd,x_star,y_star,flux
"StarA_(2534,3467)",133,V462_sloan_r_60.000secs_00000288_red.fits,60963.25954299769,2535.085277336521,3465.797312878203,1940.5477173256907
"StarA_(2534,3467)",134,V462_sloan_r_60.000secs_00000289_red.fits,60963.26024939815,2536.0436575308418,3465.0647201787856,2796.8539037521946
"StarA_(2534,3467)",135,V462_sloan_r_60.000secs_00000290_red.fits,60963.26095546296,2535.191098895554,3465.9016880973504,2312.918775902992
"StarA_(2534,3467)",136,V462_sloan_r_60.000secs_00000291_red.fits,60963.261661655095,2535.168834412731,3464.5165835557464,1847.5765680335564
"StarA_(2534,3467)",137,V462_sloan_r_60.000secs_00000292_red.fits,60963.262368171294,2535.0866480064014,3464.443649721029,2161.942798565099
"StarA_(2534,3467)",138,V462_sloan_r_60.000secs_00000293_red.fits,60963.26307436343,2536.0060446638195,3465.0318021080325,2355.4440846261223
"StarA_(2534,3467)",139,V462_sloan_r_60.000secs_00000294_red.fits,60963.26378707176,2536.5421097646104,3464.861025593138,2936.2934293902845
"StarA_(2534,3467)",140,V462_sloan_r_60.000secs_00000295_red.fits,60963.264493877316,2535.8529852702445,3464.8023649575857,2599.3677336294777
"StarA_(2534,3467)",141,V462_sloan_r_60.000secs_00000296_red.fits,60963.26520025463,2536.0080076735626,3465.0081511307267,2347.4029322503493
"StarA_(2534,3467)",142,V462_sloan_r_60.000secs_00000297_red.fits,60963.26590672454,2523.565298307605,3476.1018017199153,2335.0942271880504
"StarA_(2534,3467)",143,V462_sloan_r_60.000secs_00000298_red.fits,60963.266613402775,2580.53260372564,3533.7692985886797,1104.0136477265564
"StarA_(2534,3467)",144,V462_sloan_r_60.000secs_00000299_red.fits,60963.26731978009,2536.006265681307,3464.9991670933728,2344.790084857079
"StarA_(2534,3467)",145,V462_sloan_r_60.000secs_00000300_red.fits,60963.268026412035,2535.891880926501,3464.9918595011673,2385.1292198294905
"StarA_(2534,3467)",146,V462_sloan_r_60.000secs_00000301_red.fits,60963.26873297454,2535.6049475816035,3465.314942653113,2406.3916942032347
"StarA_(2534,3467)",147,V462_sloan_r_60.000secs_00000302_red.fits,60963.26943943287,2536.0815464327784,3464.972708218702,1999.621872346441
"StarA_(2534,3467)",148,V462_sloan_r_60.000secs_00000303_red.fits,60963.27014597222,2533.250013681865,3467.452266385466,1766.677354961233
"StarA_(2534,3467)",149,V462_sloan_r_60.000secs_00000304_red.fits,60963.27085274306,2539.8787879092965,3467.1322372333725,861.5257058979319
"StarA_(2534,3467)",150,V462_sloan_r_60.000secs_00000305_red.fits,60963.271559050925,2547.589073754636,3469.3084560509233,1798.408235859208
"StarA_(2534,3467)",151,V462_sloan_r_60.000secs_00000306_red.fits,60963.272265162035,2542.6198924494674,3455.47929617517,413.28494615654745
"StarA_(2534,3467)",152,V462_sloan_r_60.000secs_00000307_red.fits,60963.27297211806,2536.008200307596,3465.0108488222168,2266.3599580508553
"StarA_(2534,3467)",153,V462_sloan_r_60.000secs_00000308_red.fits,60963.2736834838,2531.488785968902,3471.2990432620013,1973.4639075841433
"StarA_(2534,3467)",154,V462_sloan_r_60.000secs_00000309_red.fits,60963.27438993056,2536.022108142098,3465.0096250666465,2597.368180393004
"StarA_(2534,3467)",155,V462_sloan_r_60.000secs_00000310_red.fits,60963.27509689815,2534.8725462057,3470.9609602561495,2497.300002774457
"StarA_(2534,3467)",156,V462_sloan_r_60.000secs_00000311_red.fits,60963.27580357639,2537.499399946878,3461.539484520552,1590.9890167092017
"StarA_(2534,3467)",157,V462_sloan_r_60.000secs_00000312_red.fits,60963.27651078704,2548.190370904866,3477.0599006928423,1993.825078150147
"StarA_(2534,3467)",158,V462_sloan_r_60.000secs_00000313_red.fits,60963.277217476854,2578.9872122467873,3436.9941122806777,2674.381444241849
"StarA_(2534,3467)",159,V462_sloan_r_60.000secs_00000314_red.fits,60963.277923773145,2536.0156587225692,3465.016001999954,1970.1998531055697
"StarA_(2534,3467)",160,V462_sloan_r_60.000secs_00000315_red.fits,60963.27863059028,2579.025260202181,3436.9932323903604,2384.6113440142663
"StarA_(2534,3467)",161,V462_sloan_r_60.000secs_00000316_red.fits,60963.27933664352,2537.7472839236507,3468.75173242524,1675.8437072664153
"StarA_(2534,3467)",162,V462_sloan_r_60.000secs_00000317_red.fits,60963.28004333333,2536.055498571399,3465.0435851466236,2370.7373362840426
"StarA_(2534,3467)",163,V462_sloan_r_60.000secs_00000318_red.fits,60963.28074997685,2533.1581230330735,3467.5148664877697,2116.383101303527
