RA,DEC,MAG_AUTO,MAGERR_AUTO
357.2890854,-31.6655197,99.0,99.0
357.8630833,-31.6641547,99.0,99.0
357.213965,-31.665511,99.0,99.0
357.1828338,-31.6655172,99.0,99.0
357.6893967,-31.6643862,-4.4184,0.2376
357.230517,-31.6651591,-4.0412,0.3412
357.0054479,-31.6653737,-4.9058,0.2136
356.9554225,-31.664948,-4.66,0.1942
357.7303036,-31.6640353,99.0,99.0
357.2956331,-31.6651595,-3.8741,0.3825
357.8084099,-31.6637079,-3.0069,0.7455
357.229409,-31.6662238,99.0,99.0
356.5751884,-31.6636086,-4.6481,0.2081
357.2462125,-31.6651471,-2.0294,1.9214
357.7667222,-31.6639272,-3.6018,0.5262
357.7954326,-31.6643802,99.0,99.0
357.1093961,-31.6649098,-6.9072,0.0364
357.1519436,-31.664688,-8.2781,0.0904
357.1721044,-31.6647161,-1.2405,4.6008
357.0894608,-31.665735,99.0,99.0
357.7924711,-31.663797,99.0,99.0
357.0482501,-31.665218,99.0,99.0
357.134289,-31.6653878,-3.5737,0.6893
357.802259,-31.6631403,99.0,99.0
357.2640457,-31.6651998,99.0,99.0
357.2408457,-31.6649647,-3.8755,0.4749
357.2325573,-31.6652955,99.0,99.0
357.2393916,-31.664636,99.0,99.0
357.252028,-31.6650344,99.0,99.0
357.0064162,-31.6647121,-1.7849,3.1578
356.8077954,-31.6640716,-5.5129,0.1101
357.1002866,-31.6644564,-8.1363,0.1068
357.7231279,-31.6644455,99.0,99.0
357.185961,-31.6647802,99.0,99.0
357.2631008,-31.6645603,-4.3552,0.2054
357.0023874,-31.6645962,-3.1131,0.8693
356.9776863,-31.6648423,-4.353,0.3051
357.2265426,-31.6652985,99.0,99.0
357.7849479,-31.6628982,-4.4536,0.1876
357.8170469,-31.6637761,99.0,99.0
357.1203408,-31.6654526,99.0,99.0
357.073333,-31.6651017,-9.1098,0.0127
357.1007769,-31.6647857,-9.9161,0.0086
356.9861458,-31.6650708,99.0,99.0
356.5561401,-31.6627199,-3.336,0.58
357.7882225,-31.6629685,99.0,99.0
357.7888339,-31.6644485,99.0,99.0
357.7114717,-31.662948,-4.2901,0.2606
357.1923209,-31.664181,0.0189,15.6384
357.1054874,-31.6638954,-7.5721,0.1218
357.1003121,-31.6639211,-6.7861,0.2993
357.2189946,-31.6658799,-10.272,0.0071
356.9908475,-31.6646505,99.0,99.0
357.2249536,-31.6639755,-1.8606,2.8789
357.1899366,-31.6636706,-5.9974,0.0515
356.5195487,-31.6619526,-7.942,0.1008
356.4561216,-31.6619822,99.0,99.0
357.1938783,-31.6639185,-0.3351,10.2412
356.4881901,-31.6621927,-2.1096,2.4016
357.7058874,-31.6622462,-6.4439,0.0339
357.7242163,-31.6632362,-2.5004,1.761
357.8765491,-31.6617717,-6.2839,0.0446
356.9757696,-31.6631404,-4.8708,0.1718
356.476186,-31.6617746,-5.6422,1.8794
357.8593965,-31.6639516,99.0,99.0
357.2249517,-31.6644643,99.0,99.0
357.7134057,-31.6624757,-4.2858,0.3557
357.2849595,-31.6642079,99.0,99.0
357.7147402,-31.6623217,99.0,99.0
357.068342,-31.66359,99.0,99.0
357.7740142,-31.6615128,-2.6264,1.2045
357.7122487,-31.6623242,99.0,99.0
356.5306899,-31.6613223,-4.1909,2.5127
357.1722871,-31.6626723,99.0,99.0
357.2058468,-31.6624375,-5.2013,0.0801
357.7286233,-31.6620041,-4.0714,0.2799
357.0292088,-31.6632387,-4.6995,0.2233
357.048357,-31.6630957,99.0,99.0
356.9866657,-31.6630984,-4.1389,0.3491
356.9795421,-31.6632695,-4.2124,7.8507
357.8012622,-31.6621033,99.0,99.0
357.2991898,-31.6623304,-6.8363,0.0317
356.9749532,-31.662726,-5.2181,0.1522
357.0431542,-31.6628313,-1.676,3.1567
357.2660491,-31.6636407,99.0,99.0
356.997367,-31.6625056,-3.9592,0.3635
357.8814454,-31.6605015,-6.093,0.0451
357.240407,-31.6623276,-3.7968,0.2958
357.0062536,-31.6628461,99.0,99.0
356.9879005,-31.6631155,99.0,99.0
357.182112,-31.6625716,99.0,99.0
357.7240703,-31.6613149,99.0,99.0
357.0437855,-31.6629804,99.0,99.0
357.7249031,-31.6611678,-3.7262,0.4231
357.79044,-31.6624272,99.0,99.0
357.7855142,-31.6609972,-2.6303,1.0746
357.0328653,-31.661981,-3.7253,0.4611
357.2877202,-31.6620848,-4.9224,0.1172
357.863854,-31.6604702,-2.9553,1.0578
357.7182899,-31.6632376,99.0,99.0
357.1487129,-31.6630297,99.0,99.0
356.9961741,-31.6616073,-3.8665,0.4041
357.7355348,-31.6612776,99.0,99.0
357.1685784,-31.6618257,-5.2808,0.5496
357.8161998,-31.660617,99.0,99.0
357.7701993,-31.660723,-4.3177,0.2883
357.2828764,-31.6614083,-4.3247,0.2577
357.2290071,-31.6615118,-1.8158,2.7467
356.4477909,-31.6594543,99.0,99.0
357.1145915,-31.661172,-6.208,0.0487
357.7778236,-31.6614498,-4.4534,0.3049
357.0829881,-31.6614782,99.0,99.0
356.9785713,-31.6614324,-4.9762,0.1412
357.0814948,-31.6614517,-3.528,0.5125
357.1780968,-31.661501,-2.5953,1.29
357.2224249,-31.6613135,-3.7537,0.3775
357.6312514,-31.6600102,-5.0858,0.0896
357.8560594,-31.6595855,-4.5387,0.2543
357.8748236,-31.6590355,99.0,99.0
356.5717106,-31.6596782,-4.3558,0.3358
357.7843064,-31.6598554,-3.9411,0.3196
357.8184009,-31.6596294,-4.1527,0.2898
357.3997426,-31.6604568,-4.8014,0.1454
357.0492379,-31.661345,-3.8764,0.4113
357.0565682,-31.6617669,99.0,99.0
357.777455,-31.6600939,-4.3595,0.2356
356.4732454,-31.6595895,99.0,99.0
357.2747134,-31.6611851,-3.8177,0.4718
357.1530306,-31.6610202,-3.5848,0.5568
357.8801927,-31.6595361,-4.8934,0.1826
357.8138916,-31.6598122,-4.207,0.3243
357.8642011,-31.6587965,-3.0393,0.701
356.970365,-31.6606954,-4.6436,0.2086
357.0160725,-31.6607685,99.0,99.0
357.4979446,-31.6600834,-5.633,0.0667
356.4772586,-31.6593132,-4.7371,0.1864
357.0076798,-31.6607565,-3.5898,0.6305
357.2204941,-31.6613217,99.0,99.0
357.2835358,-31.6602527,-4.7089,0.1363
357.8466436,-31.6593649,-4.1096,0.3318
